date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,Year,Month,Day,Hour,Day_of_week
2012-10-02 09:00:00,0,121,89,2,329,1,1,288.28,0.0,0.0,40,0,0,5545,2012,10,2,9,1
2012-10-02 10:00:00,0,178,67,3,330,1,1,289.36,0.0,0.0,75,0,1,4516,2012,10,2,10,1
2012-10-02 11:00:00,0,113,66,3,329,2,2,289.58,0.0,0.0,90,0,2,4767,2012,10,2,11,1
2012-10-02 12:00:00,0,20,66,3,329,5,5,290.13,0.0,0.0,90,0,2,5026,2012,10,2,12,1
2012-10-02 13:00:00,0,281,65,3,329,7,7,291.14,0.0,0.0,75,0,1,4918,2012,10,2,13,1
2012-10-02 14:00:00,0,23,65,3,328,6,6,291.72,0.0,0.0,1,1,3,5181,2012,10,2,14,1
2012-10-02 15:00:00,0,184,64,3,328,7,7,293.17,0.0,0.0,1,1,3,5584,2012,10,2,15,1
2012-10-02 16:00:00,0,167,64,3,327,7,7,293.86,0.0,0.0,1,1,3,6015,2012,10,2,16,1
2012-10-02 17:00:00,0,119,63,3,327,6,6,294.14,0.0,0.0,20,0,4,5791,2012,10,2,17,1
2012-10-02 18:00:00,0,161,63,3,326,3,3,293.1,0.0,0.0,20,0,4,4770,2012,10,2,18,1
2012-10-02 19:00:00,0,243,62,3,326,8,8,290.97,0.0,0.0,20,0,4,3539,2012,10,2,19,1
2012-10-02 20:00:00,0,150,62,3,326,5,5,289.38,0.0,0.0,1,1,3,2784,2012,10,2,20,1
2012-10-02 21:00:00,0,128,61,4,325,4,4,288.61,0.0,0.0,1,1,3,2361,2012,10,2,21,1
2012-10-02 22:00:00,0,18,61,4,325,7,7,287.16,0.0,0.0,1,1,3,1529,2012,10,2,22,1
2012-10-02 23:00:00,0,186,60,4,324,5,5,285.45,0.0,0.0,1,1,3,963,2012,10,2,23,1
2012-10-03 00:00:00,0,58,60,4,324,2,2,284.63,0.0,0.0,1,1,3,506,2012,10,3,0,2
2012-10-03 01:00:00,0,158,59,4,324,6,6,283.47,0.0,0.0,1,1,3,321,2012,10,3,1,2
2012-10-03 02:00:00,0,166,59,4,323,1,1,281.18,0.0,0.0,1,1,3,273,2012,10,3,2,2
2012-10-03 03:00:00,0,101,58,4,323,7,7,281.09,0.0,0.0,1,1,3,367,2012,10,3,3,2
2012-10-03 04:00:00,0,161,58,4,322,4,4,279.53,0.0,0.0,1,1,3,814,2012,10,3,4,2
2012-10-03 05:00:00,0,179,57,4,322,3,3,278.62,0.0,0.0,1,1,3,2718,2012,10,3,5,2
2012-10-03 06:00:00,0,93,57,4,322,4,4,278.23,0.0,0.0,1,1,3,5673,2012,10,3,6,2
2012-10-03 08:00:00,0,57,56,4,321,4,4,278.12,0.0,0.0,1,1,3,6511,2012,10,3,8,2
2012-10-03 09:00:00,0,226,56,4,321,4,4,282.48,0.0,0.0,1,1,3,5471,2012,10,3,9,2
2012-10-03 12:00:00,0,86,55,4,320,3,3,291.97,0.0,0.0,1,1,3,5097,2012,10,3,12,2
